Pressure,Temperature,Catalyst,Time,FlowRate,StirringSpeed,pH,Humidity,FeedConcentration,ReactorVolume,CoolingRate,Voltage,Current,Impurity,OperatorExperience,Yield
5.21,125.6,4.26,34.1,59.6,142.0,9.9,51.7,1.01,2.6,4.91,204.6,17.47,1.09,6.0,82.06
6.99,135.9,3.09,48.7,75.9,387.0,5.88,52.7,1.29,8.01,3.13,194.4,1.88,2.51,9.7,64.64
6.01,123.3,1.91,55.5,39.4,178.0,9.85,67.0,1.93,6.44,4.04,204.8,16.16,4.36,1.7,77.75
4.93,113.6,3.5,19.5,39.9,564.0,6.61,54.4,0.81,5.87,7.49,150.4,11.37,4.4,6.4,88.63
7.6,129.0,4.78,34.4,70.8,328.0,7.68,46.0,0.77,6.9,7.42,208.0,4.8,0.67,2.2,95.0
5.54,122.0,1.33,42.1,78.7,150.0,8.82,62.5,0.82,7.64,3.92,131.1,19.52,0.24,8.7,76.2
6.17,93.0,1.44,26.6,21.8,132.0,6.16,77.8,0.85,3.03,8.24,144.4,1.86,4.07,5.9,78.57
7.63,94.8,4.38,47.0,58.1,266.0,5.25,74.6,1.56,9.82,7.7,105.0,2.68,1.13,2.9,95.0
6.5,91.9,1.44,45.3,34.6,567.0,5.64,39.5,0.76,4.19,4.67,224.0,6.39,4.14,6.3,90.48
4.47,112.8,1.16,31.1,63.7,603.0,9.03,43.2,0.56,1.7,7.76,196.5,16.69,1.77,4.0,74.87
7.76,131.3,2.39,14.4,66.4,190.0,9.61,77.4,1.58,8.51,1.81,229.5,16.4,2.5,3.3,64.46
6.51,105.7,2.87,10.6,65.8,197.0,4.77,34.0,1.95,5.78,4.58,145.3,13.72,3.16,1.1,95.0
5.34,109.2,3.28,28.5,46.1,515.0,8.17,27.7,1.32,1.16,7.54,222.9,15.05,3.69,7.1,95.0
4.56,135.5,3.03,14.1,29.5,770.0,4.21,48.6,1.05,6.47,3.92,178.2,7.31,2.41,4.5,40.0
7.18,131.8,4.65,49.1,55.1,487.0,9.25,46.8,0.55,6.58,1.86,212.0,17.82,1.58,8.8,95.0
6.48,123.3,4.07,26.7,67.3,598.0,9.14,52.9,1.36,7.08,2.47,172.9,7.13,3.76,9.8,95.0
6.13,103.3,4.94,43.3,74.7,503.0,8.65,21.9,0.99,6.36,6.37,102.9,4.69,4.26,5.0,95.0
7.58,95.9,2.91,27.3,47.2,173.0,8.95,32.4,1.47,3.4,9.94,169.4,4.82,4.56,4.8,95.0
7.15,90.8,1.34,49.8,34.7,763.0,7.63,68.2,1.93,9.99,9.39,206.6,2.59,3.31,7.1,95.0
4.61,95.4,4.82,54.4,27.1,150.0,4.88,41.6,0.53,5.21,4.43,235.8,19.83,0.32,5.1,95.0
5.25,104.6,1.02,51.9,67.9,632.0,9.49,75.0,1.54,4.49,2.71,186.0,1.54,1.62,2.1,93.4
4.99,117.6,4.1,34.2,52.1,786.0,4.85,54.1,1.51,1.03,7.55,198.9,10.37,0.71,3.1,95.0
6.98,93.2,1.13,14.2,60.5,323.0,5.35,21.3,1.39,6.12,8.71,227.0,4.59,3.8,3.2,79.98
4.13,96.8,4.04,28.6,29.6,220.0,6.6,78.7,1.59,5.39,8.93,207.9,12.19,2.93,9.0,93.11
6.28,99.1,4.75,31.2,20.4,496.0,6.99,39.0,1.06,9.52,3.33,216.9,8.14,4.77,4.3,95.0
7.05,121.6,2.56,58.0,78.1,657.0,4.58,42.1,0.68,3.88,5.68,201.0,1.04,4.03,9.5,95.0
7.51,120.8,1.96,38.3,68.7,765.0,8.57,74.6,0.51,7.11,2.33,175.7,9.63,0.51,3.3,95.0
5.37,117.5,1.91,42.0,44.0,586.0,4.82,72.7,1.1,6.67,1.02,199.0,16.51,4.23,9.5,85.63
7.29,102.5,2.97,49.1,47.4,335.0,7.93,61.1,1.71,8.11,2.16,119.4,16.53,3.45,4.3,95.0
4.44,108.6,1.68,38.4,75.7,446.0,6.71,20.6,1.39,8.16,8.4,115.5,3.98,2.57,6.6,84.37
7.39,94.8,3.69,39.9,32.5,633.0,8.87,20.2,0.72,1.03,5.47,154.6,2.11,3.95,4.8,95.0
4.51,101.3,2.47,22.3,68.2,652.0,5.77,30.7,0.98,8.81,3.31,118.2,10.03,0.56,2.2,85.47
5.59,134.9,2.29,12.9,21.1,152.0,9.02,65.8,1.49,2.06,9.94,157.3,13.26,0.41,8.5,40.0
7.19,139.0,2.85,46.1,72.5,530.0,5.51,70.1,1.89,1.47,3.93,226.7,13.1,1.12,5.6,54.41
4.6,122.4,3.17,52.4,55.4,777.0,7.45,33.5,1.79,8.26,5.8,209.8,6.06,0.65,3.7,85.87
4.92,135.8,1.57,30.6,48.7,650.0,6.92,24.7,1.45,1.76,6.35,138.8,5.82,2.12,9.8,40.0
6.89,122.1,3.83,37.4,62.4,105.0,6.12,45.6,0.83,1.41,2.71,230.1,19.77,4.59,2.4,95.0
6.88,91.7,4.53,25.4,24.1,257.0,4.07,75.7,1.8,3.18,2.73,109.8,4.48,2.7,2.8,95.0
6.56,139.8,2.11,32.5,31.7,412.0,6.39,51.5,1.88,5.71,9.6,172.0,9.36,4.66,8.9,40.0
6.78,94.9,1.72,20.4,44.4,594.0,4.71,64.0,1.86,8.83,5.45,122.7,12.81,4.95,7.5,93.43
6.17,124.1,4.04,48.0,57.1,489.0,5.35,62.5,1.35,9.26,3.75,146.8,13.79,0.33,9.2,95.0
5.01,102.6,1.73,34.6,28.7,154.0,8.13,71.2,1.81,5.08,2.36,153.2,18.64,0.02,7.6,86.42
5.38,109.6,1.17,37.4,42.8,617.0,7.43,79.1,1.69,6.31,1.36,159.7,17.69,3.65,3.8,84.16
4.73,122.3,3.48,11.9,35.7,687.0,7.16,78.8,1.43,9.32,9.48,196.2,4.23,4.87,9.3,72.84
7.63,111.8,1.96,41.1,58.7,244.0,7.38,52.4,1.97,7.96,3.1,192.6,2.92,3.91,3.3,95.0
6.33,102.5,1.69,20.1,75.2,147.0,4.72,40.0,0.87,6.6,5.14,174.7,8.63,2.84,4.2,90.52
5.6,106.7,4.93,29.2,30.0,654.0,4.99,67.3,1.44,3.2,1.33,137.6,15.74,4.04,7.2,95.0
5.85,107.1,2.17,30.6,31.4,548.0,7.26,62.2,0.54,5.24,8.16,150.0,16.7,3.79,3.2,92.15
7.79,138.0,4.61,32.4,56.0,662.0,6.44,67.0,1.18,8.73,3.54,126.8,7.84,1.81,1.5,69.67
4.61,129.9,1.71,21.4,47.2,497.0,6.78,38.0,1.75,3.8,9.61,109.0,6.54,4.68,3.0,40.0
6.34,112.9,4.28,52.5,63.1,400.0,9.27,55.0,0.85,2.31,8.35,149.5,2.86,0.28,1.2,95.0
6.02,100.0,3.01,31.4,37.3,774.0,5.11,31.1,1.63,2.39,8.64,179.6,14.72,1.01,8.4,95.0
6.45,130.6,1.31,40.6,52.7,646.0,9.46,33.2,1.64,7.95,2.85,173.5,11.83,1.28,1.8,57.4
4.07,97.9,3.93,40.7,43.2,388.0,9.14,42.2,1.45,2.48,2.72,190.7,15.6,0.83,9.6,95.0
7.49,100.5,4.57,40.3,36.9,735.0,9.41,62.6,1.84,1.4,6.5,138.3,19.23,3.5,9.4,95.0
7.73,108.3,1.65,38.0,63.8,795.0,7.85,38.3,1.17,8.69,2.09,165.0,10.17,3.3,1.1,95.0
6.26,134.0,3.9,51.1,67.8,316.0,9.18,39.7,0.81,9.4,9.64,235.2,8.27,4.83,5.1,67.32
6.79,96.6,2.78,50.6,39.7,725.0,9.95,67.9,1.48,9.88,1.86,149.2,14.64,3.25,7.3,95.0
7.69,96.1,4.02,30.9,57.4,132.0,6.83,74.8,1.92,4.29,7.31,161.3,6.16,2.61,1.1,95.0
6.83,114.7,3.86,41.8,30.7,250.0,9.17,70.4,1.45,9.19,2.47,111.8,12.51,1.75,5.8,95.0
4.61,103.8,1.11,15.1,67.5,213.0,9.42,31.1,1.82,2.39,6.59,119.7,4.94,4.65,3.5,68.78
6.31,118.4,1.71,14.5,36.9,350.0,5.86,47.5,1.8,9.94,8.8,189.9,11.51,2.58,5.9,78.63
6.43,112.6,2.88,34.0,30.3,494.0,6.66,62.2,0.51,1.15,2.86,233.2,7.89,2.74,6.6,95.0
5.7,111.7,4.73,55.0,76.4,604.0,7.44,62.7,0.62,4.12,2.15,230.6,11.15,3.77,9.9,95.0
6.95,95.6,2.37,42.5,45.3,732.0,6.09,43.8,1.33,7.7,6.68,178.2,18.26,2.27,2.3,95.0
7.74,97.1,3.52,43.5,58.6,211.0,5.93,45.2,1.78,6.42,1.87,167.9,10.92,2.45,2.9,95.0
7.7,131.1,1.05,17.9,68.6,505.0,6.28,54.6,1.08,4.6,8.82,235.9,6.07,1.45,5.4,55.15
5.8,134.3,3.84,32.7,61.2,488.0,6.54,60.7,1.83,1.7,8.97,177.8,15.03,3.13,3.4,58.64
4.45,101.7,3.41,30.0,53.9,421.0,5.51,24.4,1.03,9.57,7.91,230.6,18.75,0.18,5.8,95.0
7.94,95.7,3.86,49.1,42.3,586.0,6.84,58.7,1.13,8.69,4.47,215.2,6.41,0.59,9.2,95.0
7.36,92.7,4.62,16.9,75.1,459.0,8.67,50.7,0.99,1.68,4.64,172.5,12.07,3.96,9.7,95.0
4.5,120.4,1.59,37.0,28.0,485.0,7.75,22.3,1.16,7.77,2.91,132.4,14.71,3.63,3.4,64.35
7.68,125.8,2.05,55.6,73.0,732.0,6.28,23.6,1.19,2.5,6.81,171.6,13.97,3.39,8.2,95.0
7.48,108.6,4.98,54.6,62.6,702.0,4.94,32.0,1.22,9.67,1.68,202.6,3.22,0.47,9.7,95.0
6.08,124.0,1.63,52.6,54.3,504.0,8.94,41.3,0.93,1.6,7.8,203.3,19.97,0.43,4.1,77.89
6.37,125.6,3.88,28.7,39.5,209.0,7.07,65.6,1.08,2.65,2.78,218.6,1.8,1.72,8.6,88.42
5.6,136.8,3.9,57.1,28.8,771.0,9.83,38.9,1.41,7.95,9.2,165.7,16.38,1.77,3.4,57.96
4.22,93.2,3.73,50.3,46.6,536.0,5.52,65.8,0.51,1.15,7.66,170.2,1.32,2.22,3.8,93.65
5.34,99.6,1.91,52.6,67.0,665.0,5.05,49.9,1.32,8.89,4.78,104.5,6.42,3.68,7.6,95.0
7.21,93.4,1.86,56.6,64.7,139.0,4.05,32.6,0.53,3.35,3.69,159.4,9.67,4.64,6.6,95.0
4.02,133.4,3.67,56.9,58.7,728.0,4.5,66.6,1.41,8.75,3.22,213.6,9.41,0.71,6.6,58.98
5.33,129.6,1.75,22.0,79.5,585.0,6.31,63.3,1.07,5.24,7.22,185.8,4.42,2.37,4.5,48.68
5.59,118.7,3.65,16.4,78.4,580.0,5.19,22.2,1.2,1.51,9.05,104.9,10.44,1.24,7.0,94.56
6.15,94.2,2.97,44.5,44.0,177.0,4.23,64.1,1.72,5.86,9.5,136.7,16.85,4.34,6.3,95.0
7.68,103.7,2.55,38.2,31.6,599.0,5.35,60.1,1.51,7.5,9.71,193.8,18.71,3.67,1.5,95.0
5.39,104.9,2.2,26.4,47.8,154.0,8.37,42.5,1.9,5.82,9.46,196.8,16.83,2.29,7.7,89.56
5.39,118.0,4.79,44.2,70.7,139.0,8.41,57.8,0.87,9.1,7.41,197.8,15.71,4.81,4.6,95.0
6.95,102.9,3.03,13.1,47.5,328.0,4.9,29.1,1.1,7.78,2.75,153.4,7.11,2.49,6.3,95.0
5.81,93.6,3.25,12.4,40.2,116.0,9.62,55.3,0.83,2.12,4.01,183.2,11.73,0.94,2.9,89.44
4.9,126.5,4.8,27.7,64.5,212.0,4.95,30.4,0.77,1.41,4.46,175.6,9.65,0.06,7.6,81.83
5.81,105.0,3.62,19.7,59.0,608.0,4.54,26.8,1.5,4.26,6.93,219.7,1.97,0.91,8.2,95.0
4.56,112.6,4.83,45.9,78.1,684.0,4.98,32.0,1.49,7.34,5.0,118.7,8.01,4.99,8.7,95.0
4.71,96.4,1.43,57.4,53.0,226.0,4.84,27.3,1.24,8.71,4.12,127.1,5.82,4.77,5.7,82.92
5.99,130.1,4.39,43.1,78.0,676.0,7.79,27.4,0.72,8.75,4.22,227.5,4.76,4.67,9.5,86.8
5.68,118.3,2.34,42.7,37.5,436.0,4.94,73.0,1.35,1.61,6.01,142.4,17.87,0.33,7.9,92.11
7.66,135.1,4.24,10.3,71.9,771.0,7.81,73.9,1.26,8.25,7.74,209.2,7.11,0.78,4.9,75.28
5.45,114.8,4.42,35.6,41.1,198.0,5.66,64.0,1.35,3.59,3.41,227.4,11.66,4.47,8.4,95.0
6.32,137.1,2.09,50.9,68.6,137.0,5.49,66.9,1.17,9.27,5.93,166.1,2.88,3.92,3.3,40.0
6.53,134.6,2.64,42.7,75.6,692.0,9.38,41.6,0.62,5.47,2.53,154.6,15.93,3.33,3.3,57.15
4.05,118.8,3.9,21.4,57.4,353.0,5.29,52.6,1.12,2.36,9.99,153.1,1.79,4.02,3.8,77.74
6.65,136.7,1.4,52.4,63.7,420.0,9.19,68.9,0.97,9.94,5.77,171.4,7.28,2.95,3.2,40.0
4.71,106.2,4.02,58.2,77.5,458.0,5.82,49.3,0.9,2.84,3.03,145.9,6.97,2.61,4.2,95.0
7.84,108.3,1.44,23.9,42.5,678.0,9.95,64.2,1.49,3.46,6.71,223.7,2.98,0.63,6.4,95.0
4.59,92.3,4.66,20.4,50.7,153.0,9.89,45.4,1.51,5.76,3.47,167.3,3.76,3.54,3.5,90.06
5.66,119.5,2.11,26.9,73.9,486.0,8.97,40.8,1.96,1.24,7.04,103.4,7.7,2.35,7.4,82.46
4.34,126.1,3.3,13.2,60.4,401.0,9.21,70.8,1.45,8.44,3.07,145.4,19.53,4.87,6.4,57.25
7.99,128.7,1.47,53.7,72.4,338.0,8.94,40.0,0.95,5.07,2.18,146.3,12.35,0.46,7.3,79.17
6.01,97.5,2.08,56.5,57.1,344.0,7.78,48.5,1.3,4.16,3.26,206.7,10.86,2.65,5.2,95.0
6.38,112.2,2.62,41.7,64.4,751.0,8.85,26.5,1.45,4.96,6.1,210.9,5.92,2.54,9.3,95.0
4.27,98.8,2.95,48.2,20.8,288.0,7.77,50.6,1.12,9.72,5.11,220.8,13.81,4.48,4.2,88.05
7.0,123.1,1.0,43.4,40.4,418.0,9.05,56.3,1.46,5.43,7.76,228.9,19.47,3.16,6.9,76.97
4.84,97.9,4.55,28.9,66.2,445.0,9.61,43.4,1.73,7.78,3.28,215.6,5.99,0.8,5.8,95.0
7.59,135.2,1.03,41.6,44.2,604.0,8.52,58.8,1.45,1.14,6.92,139.4,5.2,2.96,9.3,48.93
4.82,101.5,4.09,51.8,41.8,463.0,9.79,46.5,0.76,7.8,4.37,151.8,19.28,3.87,5.3,95.0
4.76,104.6,2.88,50.5,77.1,535.0,6.69,45.6,0.99,1.85,5.23,179.0,17.45,0.17,9.9,95.0
4.15,132.5,3.1,14.1,53.2,379.0,9.55,45.4,1.94,8.14,9.26,109.6,8.93,3.52,3.6,40.0
5.89,112.9,1.83,33.1,31.5,603.0,5.36,71.6,1.04,9.27,8.15,206.7,11.21,0.29,8.6,92.29
6.26,91.2,3.43,29.9,48.3,426.0,4.19,63.7,1.75,3.11,3.25,166.9,16.9,2.49,9.9,95.0
4.26,114.7,3.15,47.6,51.1,256.0,4.77,47.4,0.71,3.49,7.34,229.6,9.13,0.87,2.3,88.03
7.1,94.2,1.66,35.1,79.3,672.0,4.96,58.3,1.98,8.27,2.1,199.0,16.08,2.63,4.2,95.0
5.81,139.3,1.95,27.5,63.1,636.0,8.95,69.4,0.82,8.06,9.98,199.8,6.03,2.45,7.4,40.0
6.1,119.4,1.27,45.3,51.2,539.0,6.41,47.4,1.94,8.14,9.0,125.4,6.71,3.2,9.1,85.1
5.76,102.8,1.27,33.7,45.9,465.0,5.4,70.7,0.57,8.27,8.63,234.2,10.91,4.01,7.7,88.44
5.6,118.2,1.06,22.8,74.9,246.0,8.87,30.6,1.36,4.11,6.76,236.0,5.07,3.5,2.0,68.53
6.24,93.8,1.88,54.5,58.8,708.0,5.21,55.6,0.77,9.55,2.79,182.6,16.88,3.17,6.0,95.0
4.62,130.0,3.72,15.7,41.4,168.0,4.47,41.6,1.47,9.09,5.47,128.4,2.74,2.76,4.2,51.29
4.73,136.3,2.26,10.9,47.9,368.0,6.8,26.0,1.85,2.15,5.12,111.5,5.31,3.91,1.9,40.0
7.45,133.7,2.37,17.2,36.7,697.0,4.42,73.5,0.95,1.38,4.72,208.8,14.74,4.7,7.0,54.16
7.78,107.1,1.53,18.2,77.6,517.0,5.67,49.4,1.1,9.26,6.87,188.4,10.85,1.55,4.5,95.0
5.49,106.3,3.3,36.9,62.1,407.0,8.2,52.4,0.57,2.93,7.65,122.1,1.54,0.86,1.0,95.0
5.08,91.8,2.37,41.2,43.5,654.0,6.25,51.1,1.36,7.67,3.44,212.8,9.6,2.65,2.4,85.07
6.58,122.6,3.71,32.4,31.0,793.0,4.52,52.6,1.41,6.96,6.96,124.6,4.05,2.91,9.1,95.0
5.63,116.7,3.97,20.2,30.6,232.0,6.42,55.2,1.43,7.52,4.28,126.5,9.22,1.76,8.5,94.16
4.1,113.0,3.34,16.6,48.7,136.0,7.08,72.3,1.87,6.56,1.16,179.6,12.92,2.36,9.4,79.51
4.62,135.4,2.1,34.6,48.1,424.0,5.5,76.9,0.64,3.58,2.42,169.9,4.91,4.48,5.2,40.0
6.86,98.4,3.03,38.3,45.1,301.0,5.03,57.2,1.21,6.35,6.84,187.6,8.66,1.3,7.2,95.0
6.64,90.5,2.01,25.2,71.1,567.0,8.57,42.6,0.94,5.79,8.32,173.4,5.38,4.74,6.0,88.99
4.11,93.7,4.61,21.0,78.8,446.0,4.41,50.9,0.87,3.76,1.56,216.4,8.38,1.62,5.9,93.17
4.89,101.2,4.07,14.0,41.3,449.0,9.74,62.2,1.0,4.13,2.41,100.6,3.62,0.94,3.5,95.0
4.92,91.7,2.97,11.3,37.7,348.0,4.05,51.7,1.91,6.82,5.14,154.9,11.23,1.54,8.7,79.83
6.69,115.1,4.86,15.3,66.2,247.0,7.91,35.6,0.88,8.52,1.96,214.8,5.04,4.51,2.7,95.0
4.08,105.7,3.19,47.1,47.0,249.0,4.8,56.4,0.63,6.35,6.85,176.8,16.84,2.92,6.8,90.97
4.42,99.0,2.31,27.2,33.1,371.0,7.28,73.3,1.12,4.94,1.3,238.4,14.51,0.86,9.4,81.72
7.2,127.5,1.38,11.4,30.9,577.0,5.12,26.4,0.9,2.1,1.96,237.2,1.56,4.71,7.2,60.38
4.71,100.2,3.17,35.4,36.8,336.0,4.21,24.3,0.94,1.16,7.56,234.3,13.86,4.6,6.6,91.34
6.61,124.4,4.44,36.8,20.1,328.0,9.16,78.5,1.18,1.79,8.44,237.2,1.21,4.03,3.9,95.0
4.95,107.5,4.47,31.4,76.5,398.0,6.54,68.2,1.72,1.61,3.31,175.2,2.4,1.35,5.2,95.0
4.4,115.6,3.42,15.5,45.8,794.0,5.65,44.8,1.75,2.48,5.13,170.5,18.92,4.29,1.5,82.39
4.97,136.7,2.57,47.7,25.0,164.0,9.68,21.7,1.23,9.13,6.21,172.2,14.8,3.01,1.4,40.0
6.89,91.9,3.6,44.5,29.9,306.0,4.49,76.0,1.76,2.36,1.2,100.9,9.54,3.84,1.0,95.0
7.42,115.0,4.05,29.7,39.4,304.0,6.09,67.7,0.75,2.74,7.38,130.2,1.65,1.91,4.3,95.0
7.32,132.7,2.65,29.0,53.1,782.0,5.06,56.4,0.9,6.51,1.54,125.9,17.47,2.08,1.1,66.08
5.59,119.4,2.91,17.8,62.2,385.0,9.95,67.5,0.74,5.85,2.63,118.5,11.15,0.75,7.3,85.8
6.67,103.8,3.72,47.7,38.5,497.0,7.28,57.7,1.88,8.53,7.6,134.6,19.95,1.5,7.8,95.0
4.82,109.9,4.51,40.0,77.5,239.0,8.87,60.4,1.64,3.07,8.48,238.4,12.37,1.71,5.8,95.0
5.17,124.0,4.16,14.3,65.6,109.0,4.98,74.3,1.65,5.35,7.4,100.4,1.36,1.32,4.4,78.85
7.59,134.5,1.09,28.9,69.5,337.0,5.83,44.4,1.53,1.98,9.25,166.9,5.41,1.44,1.1,44.81
4.05,92.1,1.5,55.2,39.4,547.0,7.72,51.7,0.52,6.28,9.88,216.9,8.51,2.39,8.7,74.61
4.34,93.6,4.41,32.6,42.9,584.0,5.07,66.9,0.82,6.42,8.31,151.6,10.51,3.28,7.7,95.0
4.83,106.3,4.34,26.2,52.3,628.0,7.0,36.3,1.81,8.63,6.56,143.0,18.35,0.47,3.0,95.0
4.11,101.6,2.56,42.2,47.1,702.0,9.59,56.1,1.22,3.97,1.48,163.8,18.7,1.0,5.1,92.55
4.73,103.2,3.34,20.1,35.6,181.0,9.58,41.0,1.61,3.68,9.1,212.9,18.08,0.5,9.8,94.6
6.33,101.1,4.62,36.2,79.8,158.0,6.13,23.0,0.83,9.57,3.59,138.2,6.97,3.75,7.3,95.0
5.69,99.8,4.65,43.5,70.9,651.0,7.1,29.3,0.6,5.05,4.52,223.6,1.42,4.47,3.6,95.0
7.57,96.5,4.13,52.7,34.3,405.0,5.19,26.8,1.74,3.6,5.69,137.1,5.88,3.97,3.9,95.0
7.27,136.7,1.84,44.6,73.5,763.0,9.87,52.9,0.85,6.46,8.95,153.4,7.49,2.53,9.4,54.88
5.37,97.2,3.92,29.2,55.2,760.0,7.12,27.2,0.83,2.29,8.23,155.1,4.44,0.53,5.1,95.0
5.04,100.2,1.4,48.4,20.8,199.0,5.24,52.6,1.1,4.48,5.53,192.3,19.49,3.79,3.1,81.51
5.52,102.3,4.58,54.9,40.8,584.0,9.07,64.0,1.32,5.13,8.91,117.0,17.66,4.99,5.9,95.0
6.36,136.7,1.6,33.9,21.5,147.0,6.52,57.9,1.44,8.95,8.67,137.9,7.22,3.58,7.6,40.0
5.07,127.8,3.65,10.2,25.3,382.0,7.82,64.9,1.89,7.54,4.1,117.3,4.01,0.18,5.5,65.01
6.5,129.5,3.44,54.0,30.7,689.0,9.06,49.5,1.63,4.52,3.53,119.5,9.35,2.11,3.6,84.42
5.64,95.2,4.11,18.3,49.1,423.0,5.86,64.3,1.29,5.19,4.54,161.8,19.58,1.22,6.7,95.0
6.21,131.8,3.21,16.3,42.9,124.0,7.47,67.5,0.72,9.48,7.91,186.5,17.01,4.33,7.3,53.89
5.74,110.4,1.24,25.4,28.9,268.0,4.34,35.0,0.7,8.53,6.65,183.3,15.21,3.2,6.2,79.03
5.18,103.1,3.82,29.0,43.7,160.0,5.41,71.4,0.7,2.06,2.08,204.2,12.28,4.71,3.3,95.0
7.79,118.8,2.53,50.0,38.3,386.0,4.83,76.2,1.98,4.23,3.87,191.0,14.61,4.17,1.5,95.0
7.05,131.1,2.28,29.5,44.6,588.0,7.87,63.9,1.72,5.17,8.89,211.1,5.66,3.69,2.9,64.06
4.56,128.9,4.97,12.4,30.3,562.0,5.53,78.3,0.63,2.82,9.39,225.0,14.11,1.81,4.5,63.94
7.47,134.5,3.36,41.8,56.6,603.0,8.56,23.9,0.96,2.16,2.22,182.7,7.94,1.66,7.5,72.1
5.95,136.4,3.84,43.6,22.7,369.0,8.57,29.0,0.98,3.86,9.77,235.1,1.79,3.93,9.3,54.12
7.58,101.9,3.11,50.7,43.3,286.0,8.71,74.2,0.97,6.96,6.64,135.4,15.83,4.39,7.1,95.0
7.2,111.2,4.08,29.9,73.7,140.0,4.8,21.9,0.51,9.63,8.19,205.9,11.9,0.44,1.1,95.0
5.7,90.7,4.01,14.3,45.2,759.0,7.16,55.3,1.15,9.78,8.45,195.2,3.33,1.55,6.6,95.0
4.09,134.0,3.63,37.7,46.5,183.0,8.07,36.1,1.79,8.88,2.31,183.5,3.4,0.99,1.9,43.07
5.07,97.7,4.99,16.0,24.1,225.0,5.94,47.3,0.66,7.4,6.59,116.8,6.05,0.16,8.2,95.0
6.17,133.1,2.84,10.9,56.3,118.0,5.56,43.2,0.6,1.67,2.25,154.3,16.61,0.05,3.9,46.69
6.53,106.5,3.82,48.9,76.2,322.0,8.31,31.3,1.47,1.14,4.94,188.2,16.15,1.97,3.4,95.0
5.03,108.4,4.19,30.2,37.5,673.0,6.11,55.1,1.66,1.21,4.21,211.3,16.18,1.79,5.5,95.0
4.56,92.0,2.5,36.3,43.6,333.0,5.49,32.2,0.87,1.9,8.62,102.6,3.03,3.24,5.4,78.34
7.34,106.3,2.83,43.1,55.3,566.0,7.38,44.4,1.86,5.17,2.34,130.4,13.54,0.08,2.6,95.0
7.94,134.4,4.88,30.1,25.6,776.0,7.72,66.2,1.52,1.17,8.66,226.7,10.04,4.76,8.9,86.95
6.1,91.3,1.13,12.6,77.0,725.0,8.66,60.2,1.22,4.2,4.21,104.6,3.71,4.31,9.6,79.68
4.69,110.3,2.34,22.6,48.1,226.0,4.25,59.0,1.7,9.57,1.55,117.7,17.66,0.43,2.8,83.15
5.09,91.6,2.94,19.7,26.9,351.0,5.05,50.0,0.99,6.05,6.98,208.3,16.68,4.75,3.4,76.53
4.07,108.5,1.01,58.9,40.1,626.0,8.66,31.3,0.9,6.45,9.96,181.7,8.44,4.89,1.5,78.21
7.66,98.6,4.6,47.0,42.4,784.0,7.19,46.7,0.89,5.42,9.0,235.3,16.09,0.01,4.8,95.0
4.47,102.6,2.14,32.6,40.7,601.0,8.84,48.2,0.78,9.83,9.32,228.9,11.76,2.9,4.1,84.78
6.31,133.9,2.03,13.2,61.6,277.0,6.69,32.2,1.82,2.5,4.26,198.1,17.38,0.91,3.7,40.67
5.1,111.8,4.28,15.8,40.7,193.0,6.76,56.1,1.09,9.78,2.84,118.5,5.97,4.64,9.2,95.0
6.22,103.7,2.11,50.6,39.4,447.0,6.27,50.8,1.81,5.2,8.79,139.9,6.15,4.05,3.8,95.0
6.61,119.5,3.63,57.3,39.3,235.0,8.15,39.6,1.83,9.33,1.28,153.5,8.93,0.27,4.3,95.0
7.32,97.1,4.29,11.6,66.7,259.0,7.54,32.4,0.7,6.77,9.53,126.7,4.83,4.93,4.7,95.0
4.83,103.0,4.17,55.5,38.5,544.0,6.36,28.5,0.56,2.82,4.35,226.6,13.05,3.25,4.0,95.0
4.04,117.3,4.13,29.0,20.8,460.0,5.13,72.8,1.95,8.17,7.29,149.1,5.09,2.71,6.9,86.3
4.55,101.9,1.35,20.7,41.9,184.0,4.01,76.3,0.82,2.2,4.45,161.6,6.69,2.48,9.4,74.75
7.6,124.0,1.32,15.1,36.7,208.0,4.55,69.1,1.07,8.31,6.6,172.8,3.57,4.49,1.5,67.47
7.5,114.6,2.23,48.6,74.5,114.0,4.65,55.6,0.7,1.32,4.0,237.1,18.25,3.97,1.6,95.0
6.39,128.6,1.14,33.4,48.7,254.0,7.42,77.7,1.92,2.28,3.85,171.4,6.42,2.04,10.0,58.96
6.4,137.4,3.0,51.6,34.1,721.0,8.56,48.0,0.64,4.23,4.23,163.1,4.59,2.55,7.9,51.26
6.66,95.8,2.58,21.3,78.9,655.0,6.74,22.7,1.71,1.59,8.1,101.2,9.44,0.78,4.4,95.0
4.7,106.7,3.23,43.9,34.8,390.0,6.49,42.4,1.79,8.37,2.85,112.2,3.93,4.42,5.7,95.0
7.66,106.0,2.2,15.9,65.8,619.0,4.79,30.7,1.89,5.06,4.94,206.8,4.41,0.5,8.0,95.0
5.68,97.6,2.94,14.5,59.0,385.0,9.41,61.5,1.19,6.57,3.74,131.1,11.65,3.16,1.9,92.66
5.53,130.5,2.34,16.7,47.7,654.0,8.41,37.8,1.34,1.91,1.75,175.9,6.17,1.07,4.0,52.7
6.08,128.0,1.78,50.4,44.4,227.0,6.5,48.2,1.26,1.06,7.54,115.0,15.56,1.84,7.7,68.74
4.19,114.2,3.6,42.8,72.3,207.0,4.58,76.1,1.31,9.83,8.94,223.7,9.78,3.07,6.8,93.09
